target_endpoint,n,source,priority,rae_mean,baseline_rae,lift_vs_baseline,valid_seeds
Caco-2 Permeability Papp A>B,50,Caco-2 Permeability Efflux,high,0.14110320656065276,0.16102265612123054,0.1237058811499225,3
Caco-2 Permeability Papp A>B,full,Caco-2 Permeability Efflux,high,0.14070995201254413,0.11027249971261548,-0.2760203348908624,3
HLM CLint,50,MLM CLint,high,0.10087895207353631,0.10549530909822734,0.043758884296862054,3
HLM CLint,full,MBPB,low_control,0.08972667031605978,0.08498631040856852,-0.055777923346738534,3
MBPB,50,MPPB,high,0.12954214770541958,0.14721079879111929,0.12002279201521182,3
MBPB,full,MPPB,high,0.09480869709346058,0.12060332372959026,0.21387989848409888,3
